1403636580.813555479 -0.00880 0.01550 -0.16461 0.83984 0.04563 0.53922 -0.04265
1403636580.913555384 -0.00199 0.01678 -0.08635 0.83072 0.05136 0.55291 -0.03954
1403636581.013555527 0.00230 0.01869 -0.01095 0.82112 0.05709 0.56621 -0.04377
1403636581.113555431 0.00647 0.02022 0.05534 0.81500 0.05062 0.57592 -0.03910
1403636581.213555574 0.01156 0.01887 0.11041 0.80813 0.04532 0.58573 -0.04230
1403636581.313555479 0.01629 0.01607 0.14951 0.80149 0.04561 0.59429 -0.04853
1403636581.413555384 0.01989 0.00912 0.15782 0.80024 0.05335 0.59433 -0.05945
1403636581.513555527 0.01695 0.00367 0.13254 0.80367 0.06167 0.58847 -0.06331
1403636581.613555431 0.01135 0.00301 0.08116 0.80873 0.06079 0.58154 -0.06372
1403636581.713555574 0.00685 0.00278 0.01872 0.81189 0.05949 0.57764 -0.06021
1403636581.813555479 0.00179 0.00294 -0.04726 0.81273 0.05730 0.57694 -0.05768
1403636581.913555384 -0.00390 0.00346 -0.11412 0.81632 0.05634 0.57173 -0.05972
1403636582.013555527 -0.00865 0.00366 -0.17573 0.82477 0.05500 0.55950 -0.06078
1403636582.113555431 -0.01333 0.00663 -0.22447 0.83472 0.05990 0.54375 -0.06320
1403636582.213555574 -0.01705 0.00973 -0.24816 0.84133 0.06202 0.53309 -0.06434
1403636582.313555479 -0.01618 0.01117 -0.23824 0.84410 0.05886 0.52962 -0.05947
1403636582.413555384 -0.01394 0.01411 -0.19583 0.83978 0.05676 0.53663 -0.05976
1403636582.513555527 -0.01035 0.01541 -0.13630 0.83180 0.05676 0.54901 -0.05901
1403636582.613555431 -0.00680 0.01423 -0.07016 0.82790 0.05294 0.55604 -0.05097
1403636582.713555574 -0.00350 0.01191 -0.00353 0.82551 0.04817 0.56045 -0.04589
1403636582.813555479 0.00227 0.00830 0.06131 0.82150 0.04056 0.56707 -0.04390
1403636582.913555384 0.00716 0.00346 0.12348 0.81350 0.03270 0.57904 -0.04320
1403636583.013555527 0.00895 -0.00225 0.17051 0.80338 0.03420 0.59246 -0.04902
1403636583.113555431 0.00941 -0.00788 0.18933 0.79836 0.04073 0.59812 -0.05666
1403636583.213555574 0.00993 -0.01012 0.17474 0.79902 0.04423 0.59717 -0.05471
1403636583.313555479 0.00937 -0.00925 0.13504 0.80056 0.04624 0.59489 -0.05539
1403636583.413555384 0.00807 -0.00957 0.07721 0.80200 0.04781 0.59267 -0.05695
1403636583.513555527 0.00599 -0.01118 0.01087 0.80495 0.05320 0.58798 -0.05921
1403636583.613555431 0.00188 -0.01247 -0.05843 0.80991 0.05175 0.58222 -0.04881
1403636583.713555574 -0.00135 -0.01203 -0.12635 0.82031 0.05214 0.56679 -0.05584
1403636583.813555479 -0.00675 -0.01269 -0.18436 0.83205 0.04982 0.54914 -0.06054
1403636583.913555384 -0.01063 -0.01208 -0.23075 0.83881 0.05292 0.53873 -0.05808
1403636584.013555527 -0.01554 -0.01084 -0.25814 0.84067 0.05924 0.53519 -0.05784
1403636584.113555431 -0.01751 -0.00743 -0.25972 0.84010 0.06440 0.53480 -0.06372
1403636584.213555574 -0.01549 -0.00571 -0.23222 0.83956 0.06812 0.53483 -0.06674
1403636584.313555479 -0.01133 -0.00520 -0.18285 0.83754 0.06731 0.53817 -0.06613
1403636584.413555384 -0.00407 -0.00668 -0.11967 0.83541 0.06488 0.54294 -0.05567
1403636584.513555527 0.00409 -0.00806 -0.04862 0.83086 0.06379 0.55059 -0.04949
1403636584.613555431 0.01156 -0.00874 0.02538 0.82259 0.05903 0.56350 -0.04819
1403636584.713555574 0.01573 -0.01021 0.09549 0.81054 0.05463 0.58115 -0.04809
1403636584.813555479 0.01651 -0.01115 0.15511 0.79997 0.05066 0.59603 -0.04709
1403636584.913555384 0.01453 -0.01201 0.19702 0.79331 0.04818 0.60458 -0.05321
1403636585.013555527 0.01453 -0.01289 0.21128 0.79240 0.04416 0.60578 -0.05646
1403636585.113555431 0.01686 -0.01314 0.19709 0.79511 0.04320 0.60213 -0.05801
1403636585.213555574 0.01845 -0.01381 0.16069 0.79877 0.04100 0.59775 -0.05451
1403636585.313555479 0.02037 -0.01619 0.11211 0.80173 0.04317 0.59434 -0.04603
1403636585.413555384 0.02228 -0.01866 0.05888 0.80536 0.04868 0.58935 -0.04114
1403636585.513555527 0.02007 -0.02108 0.00603 0.81041 0.05519 0.58168 -0.04289
1403636585.613555431 0.01136 -0.02162 -0.03970 0.81706 0.06413 0.57059 -0.05222
1403636585.713555574 -0.00037 -0.02306 -0.07145 0.82419 0.07033 0.55798 -0.06656
1403636585.813555479 -0.01140 -0.02429 -0.08800 0.83255 0.07097 0.54401 -0.07671
1403636585.913555384 -0.02151 -0.02541 -0.09219 0.84241 0.06941 0.52793 -0.08254
1403636586.013555527 -0.02885 -0.02683 -0.09104 0.85466 0.06546 0.50865 -0.08093
1403636586.113555431 -0.03453 -0.02746 -0.08715 0.86742 0.05695 0.48943 -0.06923
1403636586.213555574 -0.04133 -0.02478 -0.08191 0.87669 0.05007 0.47411 -0.06426
1403636586.313555479 -0.05001 -0.02342 -0.07793 0.88569 0.04858 0.45704 -0.06563
1403636586.413555384 -0.06092 -0.02415 -0.07554 0.89649 0.04238 0.43644 -0.06347
1403636586.513555527 -0.07185 -0.02784 -0.07354 0.90502 0.04280 0.41885 -0.06056
1403636586.613555431 -0.07762 -0.03528 -0.06977 0.90928 0.04773 0.40854 -0.06343
1403636586.713555574 -0.07709 -0.04497 -0.06538 0.90858 0.05037 0.40901 -0.06816
1403636586.813555479 -0.07217 -0.05419 -0.06372 0.90482 0.05433 0.41526 -0.07692
1403636586.913555384 -0.06698 -0.05849 -0.06421 0.90195 0.05778 0.42081 -0.07792
1403636587.013555527 -0.06144 -0.05970 -0.06451 0.90007 0.06477 0.42314 -0.08149
